order_id,customer_id,merchant_id,order_amount,checkout_started_at,credit_decision_started_at,approved_for_installments,customer_credit_score,customer_age,customer_billing_zip,customer_shipping_zip,paid_installment_1,paid_installment_2,paid_installment_3,paid_installment_4
42C39B,9D74A0,6881F9,147.20,2018-10-03 14:26:18.497,2018-10-03 14:26:18.997,TRUE,626,26,95407,95407,1,1,1,1
A19AC4,2629AB,C37828,69.95,2018-09-21 16:55:03.443,2018-09-21 16:55:05.100,TRUE,603,20,85007,85007,1,1,1,1
381AFF,793FE0,2526E8,45.00,2018-09-15 13:41:46.103,2018-09-15 13:41:47.197,TRUE,648,41,30305-2646,30305-2646,1,1,1,1
3184A3,22C696,24FBAF,164.00,2018-10-10 00:59:25.793,2018-10-10 00:59:26.123,TRUE,625,33,28562,28562,1,1,1,1
237711,D4E94A,6F498E,69.17,2018-09-12 22:53:08.970,2018-09-12 22:53:10.923,TRUE,438,18,92324,92324,1,1,1,1
8DB983,D0F607,6F498E,65.89,2018-08-30 06:12:00.100,2018-08-30 06:12:01.207,TRUE,651,27,60463,98926,1,1,1,1
FF9F34,339F1A,B4645E,59.50,2018-09-28 22:32:45.957,2018-09-28 22:32:46.237,TRUE,674,75,34234,34234,1,1,1,1
306E09,D0515B,6F498E,54.46,2018-09-27 23:49:18.743,2018-09-27 23:49:19.117,TRUE,486,25,20110,20110,1,1,1,0
E23009,725557,8B9AB8,252.00,2018-09-16 18:13:45.823,2018-09-16 18:13:47.430,TRUE,619,47,33065,33065,1,1,1,1
7810F9,304B2B,9C0B17,80.00,2018-09-29 21:22:29.333,2018-09-29 21:22:29.677,TRUE,584,30,32824,32955,1,1,0,1
9B90C5,8C14C9,C37828,69.95,2018-09-27 15:56:08.010,2018-09-27 15:56:08.480,TRUE,491,35,28269,28269,1,1,1,1
C0BEA2,E07D3D,6B6FAC,57.65,2018-09-27 22:57:46.763,2018-09-27 22:57:47.077,TRUE,709,21,84102-2521,84102-2521,1,1,1,1
253247,D5DA42,6F498E,86.81,2018-10-07 18:32:47.260,2018-10-07 18:32:47.547,TRUE,539,23,10452,10452,1,1,1,0
E6E1D1,679E13,4F01D6,74.25,2018-09-25 02:35:16.777,2018-09-25 02:35:19.807,TRUE,611,23,40219,40219,1,1,0,0
131EF8,D7B1B7,781325,170.87,2018-09-21 02:31:13.980,2018-09-21 02:31:15.527,TRUE,611,19,64024,64024,1,1,1,1
76D23D,FF3B79,E71107,570.89,2018-09-20 22:52:13.240,2018-09-20 22:52:14.757,TRUE,820,31,95018,95018,1,1,1,1
B8C197,54712A,6F498E,64.77,2018-09-04 18:17:18.820,2018-09-04 18:17:20.053,TRUE,513,40,98422,98422,1,1,1,1
3FDDEE,E54B49,8D665E,131.25,2018-10-06 22:54:04.553,2018-10-06 22:54:04.880,TRUE,611,20,16504,16504,1,1,1,0
7537A8,A12393,8D665E,58.86,2018-10-06 20:06:55.460,2018-10-06 20:06:55.803,TRUE,536,25,90016,90016,1,1,1,1
C733B2,260808,8D665E,85.00,2018-10-04 03:37:40.130,2018-10-04 03:37:40.553,TRUE,514,28,40207,40207,1,1,1,1
B1E9DE,E11A39,DE18FA,895.00,2018-09-21 20:17:01.137,2018-09-21 20:17:02.683,TRUE,717,47,60659,60659,1,1,1,1
BA6F70,1E020F,C37828,76.16,2018-09-20 20:33:22.173,2018-09-20 20:33:24.780,TRUE,607,25,11218,11218,1,1,1,1
6C6A45,7095AF,26ECA2,41.66,2018-09-08 01:52:54.540,2018-09-08 01:52:55.870,TRUE,643,21,55445,55445,1,1,1,1
6FFCDE,72B216,C37828,59.78,2018-10-14 05:22:15.210,2018-10-14 05:22:15.553,TRUE,511,25,10460,10460,1,1,1,NULL
59C75B,D92004,6F498E,64.75,2018-09-08 07:35:36.150,2018-09-08 07:35:37.337,TRUE,493,43,34683,34683,1,1,1,1
0D8DF8,478021,7FE732,289.06,2018-09-07 16:43:36.773,2018-09-07 16:43:38.163,TRUE,708,28,11102,11102,1,1,1,1
0A3B2F,620050,C37828,53.17,2018-08-31 12:55:27.213,2018-08-31 12:55:28.433,TRUE,606,23,90063,90063,1,1,1,1
B6C501,74BC11,F72922,159.20,2018-10-12 20:41:33.400,2018-10-12 20:41:33.823,TRUE,575,49,93313,93313,1,1,1,1
DC4E2C,01C7B5,8B9AB8,158.98,2018-10-02 02:03:38.450,2018-10-02 02:03:38.840,TRUE,611,21,85282,85282,1,0,0,0
80157A,6CA1BC,03271F,221.00,2018-09-01 00:01:26.937,2018-09-01 00:01:28.143,TRUE,611,46,31404,31404,1,1,1,1
B18968,44B846,9C0B17,37.40,2018-09-11 16:11:14.510,2018-09-11 16:11:15.883,TRUE,534,53,75068,75068,1,1,1,1
CB26F6,F9822E,C37828,74.90,2018-08-30 19:11:28.590,2018-08-30 19:11:29.950,TRUE,734,23,41076,40222,1,1,1,1
78E61F,FE5E1B,8B9AB8,175.66,2018-08-29 16:03:00.513,2018-08-29 16:03:01.843,TRUE,686,31,33133,33133,1,1,1,1
1BC238,6D859C,48D2B9,1027.25,2018-10-04 19:31:15.683,2018-10-04 19:31:16.090,TRUE,773,46,80304,80304,1,1,1,1
3618B5,BF0B93,05BCA0,202.50,2018-09-26 05:28:34.730,2018-09-26 05:28:36.307,TRUE,771,40,94117,94117,1,1,1,1
632878,4D8089,6EA30D,98.95,2018-10-14 14:29:47.053,2018-10-14 14:29:47.473,TRUE,656,43,19720,19720,1,1,1,NULL
CF7E67,2903B1,6EA30D,52.50,2018-09-29 02:12:36.553,2018-09-29 02:12:36.913,TRUE,703,36,19150,19150,1,1,1,1
93AF2C,B45D2A,6881F9,76.00,2018-09-17 15:19:43.687,2018-09-17 15:19:44.933,TRUE,727,32,01040,01040,1,1,1,1
383AD0,07044F,ED5D01,79.99,2018-10-09 06:15:16.687,2018-10-09 06:15:17.170,TRUE,690,35,93722,93722,1,1,1,1
3C3ADE,0E1B6E,9C0B17,55.00,2018-10-08 18:57:30.457,2018-10-08 18:57:30.767,TRUE,611,26,92110,92110,1,1,1,1
198D3B,8A6224,26ECA2,38.54,2018-10-06 04:26:24.237,2018-10-06 04:26:24.550,TRUE,611,26,29412-8287,15146,1,1,1,1
CADD00,968795,767C9E,307.84,2018-09-13 03:57:17.510,2018-09-13 03:57:18.510,TRUE,420,37,11412,11412,1,0,0,0
913450,EDD386,7FE732,191.08,2018-09-21 12:28:02.477,2018-09-21 12:28:04.087,TRUE,556,37,10013,10013,1,1,1,1
B5D595,7E409D,6B6FAC,150.00,2018-09-16 06:16:21.643,2018-09-16 06:16:22.643,TRUE,762,38,90065,90021-1604,1,1,1,1
AB6FB8,5CE479,864C1F,100.00,2018-10-12 19:43:04.193,2018-10-12 19:43:04.850,TRUE,611,30,97211,97211,1,1,1,1
98DA69,3854DC,24FBAF,179.20,2018-10-10 04:04:58.787,2018-10-10 04:04:59.130,TRUE,700,25,51048,51048,1,1,1,1
95E920,7FEA73,1C107C,195.00,2018-10-07 08:08:14.950,2018-10-07 08:08:15.370,TRUE,657,21,89103,89141,1,1,1,1
5E4C9A,BBE33C,C37828,76.16,2018-09-25 18:53:22.877,2018-09-25 18:53:24.567,TRUE,474,31,11434,10031,1,1,1,1
09D51A,F7E152,6881F9,154.00,2018-09-13 14:39:24.043,2018-09-13 14:39:25.607,TRUE,554,43,72653,72653,1,1,1,1
4069CD,D14F9A,DE18FA,695.00,2018-08-31 23:27:14.480,2018-08-31 23:27:16.827,TRUE,611,50,79762,79762,1,1,1,1
3BB8F1,7605FD,B4645E,118.25,2018-10-04 15:55:04.260,2018-10-04 15:55:04.607,TRUE,565,51,84081,84081,1,1,1,1
89EA29,8BF27E,C37828,46.41,2018-09-30 03:18:01.070,2018-09-30 03:18:01.430,TRUE,611,18,75035,75093,1,1,1,1
191D9A,67835C,3F89E5,115.00,2018-09-18 18:28:53.717,2018-09-18 18:28:56.343,TRUE,611,21,10510,36830,1,1,1,1
D3A3D0,E18D5B,B4645E,48.65,2018-09-05 14:45:49.140,2018-09-05 14:45:50.420,TRUE,574,53,77573,77573,1,1,1,1
A6B522,015487,05BCA0,225.00,2018-10-04 13:26:29.210,2018-10-04 13:26:29.523,TRUE,576,25,48103,48103,1,1,1,1
226FCC,A27945,6F498E,191.31,2018-10-03 23:54:00.373,2018-10-03 23:54:00.717,TRUE,532,29,30349,30349,1,1,1,1
E89326,4C29AA,C37828,68.72,2018-10-03 10:56:26.623,2018-10-03 10:56:27.093,TRUE,615,41,94066,94066,1,1,1,1
34711B,44187A,8D665E,96.36,2018-09-30 22:49:47.590,2018-09-30 22:49:47.857,TRUE,514,41,90815,90815,1,1,1,1
EB70F4,EAA887,C37828,54.90,2018-10-09 21:13:19.633,2018-10-09 21:13:20.040,TRUE,611,27,85338,85338,1,1,1,1
241EC8,5F0EB4,24FBAF,82.32,2018-10-03 01:20:10.620,2018-10-03 01:20:10.933,TRUE,622,28,72762,72762,1,1,1,1
4BF36C,B2EACE,24FBAF,36.00,2018-10-02 00:00:30.120,2018-10-02 00:00:30.430,TRUE,646,22,46350,46350,1,1,1,1
41A9EE,135C2B,8B9AB8,174.98,2018-09-08 19:21:55.240,2018-09-08 19:21:56.723,TRUE,611,24,48060,48060,1,1,1,1
76B83B,4E7BD3,8D665E,237.00,2018-09-01 16:43:25.480,2018-09-01 16:43:26.933,TRUE,489,28,48301,48301,1,1,1,1
41BB2B,EE6EBA,6B6FAC,63.50,2018-10-10 14:31:12.020,2018-10-10 14:31:12.317,TRUE,675,22,01035-9592,01035-9592,1,1,1,1
