,order_id,customer_id,merchant_id,order_amount,checkout_started_at,credit_decision_started_at,approved_for_installments,customer_credit_score,customer_age,customer_billing_zip,customer_shipping_zip,paid_installment_1,paid_installment_2,paid_installment_3,paid_installment_4,orders,order_amount_cum_sum,orders_cum_sum,order_amount_cum_avg,paid_installment_1_cum_avg,paid_installment_2_cum_avg,paid_installment_3_cum_avg,paid_installment_4_cum_avg,order_amount_cum_sum,orders_cum_sum,order_amount_cum_avg,paid_installment_1_cum_avg,paid_installment_2_cum_avg,paid_installment_3_cum_avg,paid_installment_4_cum_avg,merchant_order_amount_cum_sum,merchant_orders_cum_sum,merchant_order_amount_cum_avg,merchant_paid_installment_1_ratio,merchant_paid_installment_2_ratio,merchant_paid_installment_3_ratio,merchant_paid_installment_4_ratio,order_amount_to_merchant_avg_ratio
0,B55239,7EB0A6,01B43C,310.0,2018-09-10 00:38:21.067,2018-09-10 00:38:22.220,True,623,25,30904,30904,1.0,1,1.0,1.0,1,310.0,1,310.0,1.0,1,1.0,1.0,310.0,1,310.0,1.0,1,1.0,1.0,310.0,1,310.0,1.0,1,1.0,1.0,1.0
1,8BBFA4,1DEF48,01B43C,175.0,2018-09-11 20:00:33.477,2018-09-11 20:00:35.573,True,793,26,60640,60640,1.0,1,1.0,1.0,1,175.0,1,175.0,1.0,1,1.0,1.0,175.0,1,175.0,1.0,1,1.0,1.0,175.0,1,175.0,1.0,1,1.0,1.0,1.0
2,A9BC20,4530C3,01B43C,225.0,2018-09-14 01:49:59.393,2018-09-14 01:50:00.457,True,611,27,60610,60610,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
3,1BF490,C793F7,01B43C,275.0,2018-10-13 16:14:28.193,2018-10-13 16:14:28.567,True,631,29,33716,33716,1.0,1,1.0,,1,275.0,1,275.0,1.0,1,1.0,0.0,275.0,1,275.0,1.0,1,1.0,0.0,275.0,1,275.0,1.0,1,1.0,0.0,1.0
4,028E65,B6F7A4,01C9EC,104.0,2018-08-28 23:34:39.247,2018-08-28 23:34:40.730,True,655,36,94591,94591,1.0,1,1.0,1.0,1,104.0,1,104.0,1.0,1,1.0,1.0,104.0,1,104.0,1.0,1,1.0,1.0,104.0,1,104.0,1.0,1,1.0,1.0,1.0
5,C702A8,0BCC18,01C9EC,44.2,2018-09-13 17:42:05.847,2018-09-13 17:42:07.237,True,761,26,08857,10019,1.0,1,1.0,1.0,1,44.2,1,44.2,1.0,1,1.0,1.0,44.2,1,44.2,1.0,1,1.0,1.0,44.2,1,44.2,1.0,1,1.0,1.0,1.0
6,C110F3,9AC005,01C9EC,58.0,2018-09-18 03:55:13.597,2018-09-18 03:55:15.267,True,593,51,30168,30168,1.0,1,1.0,1.0,1,58.0,1,58.0,1.0,1,1.0,1.0,58.0,1,58.0,1.0,1,1.0,1.0,58.0,1,58.0,1.0,1,1.0,1.0,1.0
7,07DAD4,F82B5F,01C9EC,76.8,2018-10-12 15:25:46.673,2018-10-12 15:25:47.020,True,611,40,77070,77054,1.0,1,1.0,1.0,1,76.8,1,76.8,1.0,1,1.0,1.0,76.8,1,76.8,1.0,1,1.0,1.0,76.8,1,76.8,1.0,1,1.0,1.0,1.0
8,38BB6E,6D5F02,01C9EC,68.0,2018-10-12 16:31:35.753,2018-10-12 16:31:36.157,True,518,35,91107,91107,1.0,1,1.0,1.0,1,68.0,1,68.0,1.0,1,1.0,1.0,68.0,1,68.0,1.0,1,1.0,1.0,68.0,1,68.0,1.0,1,1.0,1.0,1.0
9,053AC7,F34D8E,01CF9F,110.0,2018-10-04 20:19:59.833,2018-10-04 20:20:00.163,True,564,42,89509,96150,1.0,1,1.0,0.0,1,110.0,1,110.0,1.0,1,1.0,0.0,110.0,1,110.0,1.0,1,1.0,0.0,110.0,1,110.0,1.0,1,1.0,0.0,1.0
